2021-05-06 21:47:27 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:47:48 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:48:09 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:48:30 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:48:51 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:49:13 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:49:34 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:49:55 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:50:16 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:50:37 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:50:58 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:51:19 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:51:40 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:52:01 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:52:22 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:52:43 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:53:04 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:53:25 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:53:47 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:54:08 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:54:29 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:54:50 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:58:20 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:58:41 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:59:02 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:59:24 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 21:59:45 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 22:00:06 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 22:00:27 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 22:18:21 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:18:42 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:19:03 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:19:03 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:19:24 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:19:24 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:19:45 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:19:45 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:20:06 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:20:06 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:20:27 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:20:27 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:20:48 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:20:48 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:21:09 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:21:09 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:21:31 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:21:31 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:21:52 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:21:52 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:22:13 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:22:13 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:22:34 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:22:34 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 22:22:55 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000008
2021-05-06 22:22:55 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
